________ matches the start of the string. ________ matches the end of the string. ,"'^', '$'" ,"'$', '^'" ,"'$', '?'" ,"'?', '^'" ,A
"Choose the function whose output can be: <_sre.SRE_Match object; span=(4, 8), match='aaaa'>." ,">>> re.search('aaaa', ""alohaaaa"", 0)" ,">>> re.match('aaaa', ""alohaaaa"", 0)" ,">>> re.match('aaa', ""alohaaa"", 0)" ,">>> re.search('aaa', ""alohaaa"", 0)" ,A
"The character Dot (that is, '.') in the default mode, matches any character other than _____________" ,caret ,ampersand ,percentage symbol ,newline ,D
The expression a{5} will match _____________ characters with the previous regular expression. ,5 or less ,exactly 5 ,5 or more ,exactly 4 ,B
What does the function re.match do? ,matches a pattern at the start of the string ,matches a pattern at any position in the string ,such a function does not exist ,none of the mentioned ,A
What does the function re.search do? ,matches a pattern at the start of the string ,matches a pattern at any position in the string ,such a function does not exist ,none of the mentioned ,B
"What will be the output of the following Python code?sentence = 'we are humans'matched = re.match(r'(.*) (.*?) (.*)', sentence)print(matched.groups())" ,"('we', 'are', 'humans')" ,"(we, are, humans)" ,"('we', 'humans')" ,'we are humans' ,A
"What will be the output of the following Python code?sentence = 'we are humans'matched = re.match(r'(.*) (.*?) (.*)', sentence)print(matched.group())" ,"('we', 'are', 'humans')" ,"(we, are, humans)" ,"('we', 'humans')" ,'we are humans' ,D
"What will be the output of the following Python code?sentence = 'we are humans'matched = re.match(r'(.*) (.*?) (.*)', sentence)print(matched.group(2))" ,'are' ,'we' ,'humans' ,'we are humans' ,C
"What will be the output of the following Python code?sentence = 'horses are fast'regex = re.compile('(?P<animal>\w+) (?P<verb>\w+) (?P<adjective>\w+)')matched = re.search(regex, sentence)print(matched.groupdict())" ,"{'animal': 'horses', 'verb': 'are', 'adjective': 'fast'}" ,"('horses', 'are', 'fast')" ,'horses are fast' ,'are' ,A
"What will be the output of the following Python code?sentence = 'horses are fast'regex = re.compile('(?P<animal>\w+) (?P<verb>\w+) (?P<adjective>\w+)')matched = re.search(regex, sentence)print(matched.groups())" ,"{'animal': 'horses', 'verb': 'are', 'adjective': 'fast'}" ,"('horses', 'are', 'fast')" ,'horses are fast' ,'are' ,B
"What will be the output of the following Python code?sentence = 'horses are fast'regex = re.compile('(?P<animal>\w+) (?P<verb>\w+) (?P<adjective>\w+)')matched = re.search(regex, sentence)print(matched.group(2))" ,"{'animal': 'horses', 'verb': 'are', 'adjective': 'fast'}" ,"('horses', 'are', 'fast')" ,'horses are fast' ,'are' ,D
What will be the output of the following Python code?import re re.ASCII ,8 ,32 ,64 ,256 ,D
"What will be the output of the following Python function? re.findall(""hello world"", ""hello"", 1)" ,[""hello""] ,[ ] ,hello ,hello world ,B
"What will be the output of the Python code? re.split('\W+', 'Hello, hello, hello.')" ,"['Hello', 'hello', 'hello.']" ,"['Hello, 'hello', 'hello']" ,"['Hello', 'hello', 'hello', '.']" ,"['Hello', 'hello', 'hello', "]" ,D
Which module in Python supports regular expressions? ,re ,regex ,pyregex ,none of the mentioned ,A
Which of the following creates a pattern object? ,re.create(str) ,re.regex(str) ,re.compile(str) ,re.assemble(str) ,C
Which of the following functions clears the regular expression cache? ,re.sub() ,re.pos() ,re.purge() ,re.subn() ,C
Which of the following functions results in case insensitive matching? ,re.A ,re.U ,re.I ,re.X ,C
Which of the following will result in an error? ,&gt;&gt;&gt; p = re.compile(""d"") &gt;&gt;&gt; p.search(""door"") ,&gt;&gt;&gt; p = re.escape('hello') ,&gt;&gt;&gt; p = re.subn() ,&gt;&gt;&gt; p = re.purge() ,C
